long,long,long,long,flags,flags,flags,flags,flags,flags,flags,flags,flags,None,flags,None,flags,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,flags,long,long,long,long,long,long,long,long,long,long,None,long,float,long,long,long,flags,long,long,long,long,long,long,long,long,long,long,long,long,long,long,flags,flags,long,long,flags,long,long,long,long,long,long,float,float,float,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,long,long,flags,long,flags,long,long,long,long,long,flags,long,long,flags,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,None,None,None,None,None,None,None,None,str,None,None,None,None,None,None,None,flags,long,flags,long,long,long,flags,flags,flags,long,long,flags,long,float,float,float,flags,long,long,long,long,long,flags,long,long,long,float,float,float,long,long,
15,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,9,0,0,6,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,0,0x0,1,0,0x32,,,,,,,,,"П'явка (ТЕСТ)",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
17,56,1,19,0x50800,0x0,0x280000,0x0,0x0,0x0,0x0,0x0,0x8000000,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,6788,1,0,4000,8,0,0,0x0,101,0,11,6,6,9,0,0,0,0,,5,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,6,0,0,1,0,0,0.800000011921,0.0,0.0,43,0,0,0,0,0,21,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,784,0x0,566,0,0x32,,,,,,,,,"Слово сили: Щит",,,,,,,,0xFF01FE,,,,,,,,,"Рівень 1",,,,,,,,0xFF01FE,,,,,,,,,"Витягує частинку душі союзника та створює з неї щит, здатний поглинути $s1 од. шкоди. Час дії – $d. Поки персонаж захищений, виголошення ним заклинань не може бути перервано отриманням шкоди. Повторно накласти щит можна лише через $6788d.",,,,,,,,0xFF01FE,,,,,,,,,"Поглинання шкоди.",,,,,,,,0xFF01FE,23,0x85,1500,0,6,0x1,0x0,0x400,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x2,0,0,0,0.0,1.0,0.0,0,0,
18,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,10,0,0,1,0,0,0.0,0.0,0.0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,66,0x0,1,0,0x32,,,,,,,,,"Самозцілення (ТЕСТ)",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
22,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,101,0,0,0,0,1,0,10,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,6,0,0,6,0,0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1000,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,0,0x0,1,0,0x32,,,,,,,,,"Суперїжа (TEST)",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
24,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,10,0,0,6,0,0,0.0,0.0,0.0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,0,0x0,1,0,0x32,,,,,,,,,"Старше самозцілення (ТЕСТОВЕ)",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
25,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,101,0,0,0,0,28,0,0,0,0,,2,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,6,0,0,1,0,0,0.0,0.0,0.0,-1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,14,0x0,15,0,0x32,,,,,,,,,"Приголомшення",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,0.0,0.0,0.0,0,0,
26,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0x0,101,0,0,0,0,0,0,10,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,11,0,0,6,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,0,0x0,1,0,0x32,,,,,,,,,"Зв'язування себе (ТЕСТ)",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
27,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0x0,101,0,1,0,1,3,0,10,0,0,,3,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,12,0,0,6,0,0,0.0,0.0,0.0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,9,0x0,1,0,0x32,,,,,,,,,"Портал Затозем'я",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
31,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,5,0,0,6,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,263,0x0,1,0,0x32,,,,,,,,,"Телепорт у Золотозем'я",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
33,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,5,0,0,6,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,263,0x0,1,0,0x32,,,,,,,,,"Телепорт у Західний край",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
34,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,263,0x0,1,0,0x32,,,,,,,,,"Телепорт у Сутінковий ліс",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
35,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0x0,101,0,1,0,1,0,0,0,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,5,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,263,0x0,1,0,0x32,,,,,,,,,"Телепорт до Елвінського лісу",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,1,0x1,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,1.0,0.0,0.0,0,0,
43,0,0,0,0x40010,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,0x0,,0x0,0,0,0,0,0,0,0,0,0,0,0,1,600000,0,0,0,0,0x0,101,0,0,0,1,2,0,0,0,0,,1,0.0,0,0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,-1,0,0x0,6,0,0,1,0,0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0x0,0,0x0,0,0,0,0,47,0x0,86,0,0x32,,,,,,,,,"Берсерк",,,,,,,,0xFF01FE,,,,,,,,,"Расова",,,,,,,,0xFF01FE,,,,,,,,,"",,,,,,,,0xFF01FC,,,,,,,,,"",,,,,,,,0xFF01FC,0,0x0,0,0,0,0x0,0x0,0x0,0,0,0x0,0,1.0,1.0,1.0,0x0,0,0,0,0,0,0x1,0,0,0,0.0,0.0,0.0,0,0,
